"Industries Employment","Number"
"Accommodation,  food",""
"Female","115"
"Male","89"
"Administrative, support service",""
"Female","0"
"Male","32"
"Agriculture, forestry and  fishing",""
"Female","2"
"Male","6"
"Arts, entertainment, recreation",""
"Female","0"
"Male","3"
"Construction",""
"Female","0"
"Male","0"
"Education",""
"Female","340"
"Male","588"
"Electricity, gas and water",""
"Female","1"
"Male","21"
"Financial intermediation and insurance",""
"Female","17"
"Male","18"
"Health, social work",""
"Female","71"
"Male","63"
"Information and communication",""
"Female","1"
"Male","1"
"Manufacturing",""
"Female","41"
"Male","64"
"Other service activities",""
"Female","10"
"Male","29"
"Professional, scientific, techniqual activity",""
"Female","3"
"Male","13"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","7"
"Male","17"
"Water supply, wet management",""
"Female","0"
"Male","0"
"Wholesale, retail trade",""
"Female","531"
"Male","519"
