"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","37"
"","73"
"Deaf/hard of hearing",""
"Female","14"
"Male","23"
"","37"
"Deaf-Blind",""
"Female","4"
"Male","1"
"","5"
"Intellectual disable",""
"Female","2"
"Male","1"
"","3"
"Mental disable",""
"Female","9"
"Male","13"
"","22"
"Multiple disable",""
"Female","15"
"Male","21"
"","36"
"No disability",""
"Female","8164"
"Male","7280"
"","15444"
"Physical",""
"Female","67"
"Male","81"
"","148"
"Speech problem",""
"Female","13"
"Male","25"
"","38"
