"Population by disability type","Number"
"Blind/low vision",""
"Female","57"
"Male","54"
"","111"
"Deaf/hard of hearing",""
"Female","193"
"Male","178"
"","371"
"Deaf-Blind",""
"Female","17"
"Male","8"
"","25"
"Intellectual disable",""
"Female","10"
"Male","14"
"","24"
"Mental disable",""
"Female","23"
"Male","25"
"","48"
"Multiple disable",""
"Female","49"
"Male","43"
"","92"
"No disability",""
"Female","6743"
"Male","5630"
"","12373"
"Physical",""
"Female","87"
"Male","116"
"","203"
"Speech problem",""
"Female","38"
"Male","30"
"","68"
