"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","85"
"Male","102"
"Badi",""
"Female","13"
"Male","5"
"Bangali",""
"Female","30"
"Male","21"
"Baraee",""
"Female","55"
"Male","60"
"Brahman - Hill",""
"Female","1631"
"Male","1578"
"Brahman - Tarai",""
"Female","86"
"Male","82"
"Chamar/ Harijan/ Ram",""
"Female","2428"
"Male","2408"
"Chhetri",""
"Female","717"
"Male","648"
"Damai/Dholi",""
"Female","166"
"Male","148"
"Darai",""
"Female","25"
"Male","14"
"Dhandi",""
"Female","58"
"Male","63"
"Dhankar/ Dharikar",""
"Female","54"
"Male","64"
"Dhobi",""
"Female","847"
"Male","824"
"Dhunia",""
"Female","40"
"Male","39"
"Dom",""
"Female","19"
"Male","21"
"Dusadh/ Pasawan/ Pasi",""
"Female","824"
"Male","798"
"Gaderi/Bhedihar",""
"Female","28"
"Male","30"
"Gangai",""
"Female","14"
"Male","8"
"Gharti/Bhujel",""
"Female","12"
"Male","12"
"Gurung",""
"Female","79"
"Male","76"
"Hajam/Thakur",""
"Female","388"
"Male","359"
"Halwai",""
"Female","302"
"Male","305"
"Kahar",""
"Female","919"
"Male","884"
"Kalwar",""
"Female","158"
"Male","144"
"Kamar",""
"Female","10"
"Male","8"
"Kami",""
"Female","404"
"Male","411"
"Kanu",""
"Female","5"
"Male","15"
"Kathabaniyan",""
"Female","790"
"Male","850"
"Kayastha",""
"Female","50"
"Male","52"
"Kewat",""
"Female","2196"
"Male","2052"
"Khawas",""
"Female","71"
"Male","72"
"Koiri/Kushwaha",""
"Female","389"
"Male","414"
"Kumal",""
"Female","41"
"Male","41"
"Kumhar",""
"Female","122"
"Male","132"
"Kurmi",""
"Female","619"
"Male","595"
"Limbu",""
"Female","13"
"Male","9"
"Lodh",""
"Female","14"
"Male","13"
"Lohar",""
"Female","129"
"Male","113"
"Magar",""
"Female","556"
"Male","497"
"Majhi",""
"Female","9"
"Male","9"
"Mali",""
"Female","28"
"Male","31"
"Mallaha",""
"Female","184"
"Male","168"
"Marwadi",""
"Female","45"
"Male","49"
"Musahar",""
"Female","87"
"Male","84"
"Musalman",""
"Female","1771"
"Male","1636"
"Natuwa",""
"Female","45"
"Male","40"
"Newar",""
"Female","211"
"Male","201"
"Nuniya",""
"Female","17"
"Male","23"
"Others",""
"Female","31"
"Male","25"
"Pattharkatta/ Kushwadiya",""
"Female","46"
"Male","41"
"Rai",""
"Female","32"
"Male","24"
"Rajbhar",""
"Female","327"
"Male","306"
"Rajdhob",""
"Female","4"
"Male","7"
"Rajput",""
"Female","55"
"Male","50"
"Sanyasi/Dasnami",""
"Female","214"
"Male","199"
"Sarki",""
"Female","43"
"Male","43"
"Satar/ Santhal",""
"Female","64"
"Male","67"
"Sonar",""
"Female","33"
"Male","36"
"Sudhi",""
"Female","3"
"Male","8"
"Sunuwar",""
"Female","16"
"Male","9"
"Tamang",""
"Female","124"
"Male","126"
"Teli",""
"Female","1104"
"Male","1087"
"Terai Others",""
"Female","350"
"Male","316"
"Thakuri",""
"Female","167"
"Male","138"
"Tharu",""
"Female","6564"
"Male","6105"
"Yadav",""
"Female","2990"
"Male","3023"
"Yakkha",""
"Female","42"
"Male","34"
