"Population by Educational Attainment","Number"
"Beginners",""
"Female","1252"
"Male","1548"
"Graduate and Equivalent",""
"Female","145"
"Male","428"
"Intermediate and Equivalent",""
"Female","556"
"Male","1027"
"Level not Stated",""
"Female","44"
"Male","34"
"Lower Secondary (Class 6-8)",""
"Female","3144"
"Male","4579"
"Non Formal Education",""
"Female","363"
"Male","273"
"Others",""
"Female","7"
"Male","14"
"Post Graduate Equivalent and Above",""
"Female","31"
"Male","160"
"Primary Education (1-5 Class)",""
"Female","6666"
"Male","7897"
"Secondary Level (Class 9-10)",""
"Female","1603"
"Male","2945"
"SLC and Equivalent",""
"Female","875"
"Male","1448"
