"Population by disability type","Number"
"Blind/low vision",""
"Female","86"
"Male","94"
"","180"
"Deaf/hard of hearing",""
"Female","78"
"Male","84"
"","162"
"Deaf-Blind",""
"Female","8"
"Male","11"
"","19"
"Intellectual disable",""
"Female","12"
"Male","29"
"","41"
"Mental disable",""
"Female","35"
"Male","41"
"","76"
"Multiple disable",""
"Female","30"
"Male","38"
"","68"
"No disability",""
"Female","22884"
"Male","19291"
"","42175"
"Physical",""
"Female","197"
"Male","306"
"","503"
"Speech problem",""
"Female","74"
"Male","75"
"","149"
