"Population by Educational Attainment","Number"
"Beginners",""
"Female","660"
"Male","726"
"","1386"
"Graduate and Equivalent",""
"Female","26"
"Male","93"
"","119"
"Intermediate and Equivalent",""
"Female","149"
"Male","256"
"","405"
"Level not Stated",""
"Female","50"
"Male","79"
"","129"
"Lower Secondary (Class 6-8)",""
"Female","2879"
"Male","2750"
"","5629"
"Non Formal Education",""
"Female","806"
"Male","682"
"","1488"
"Others",""
"Female","18"
"Male","16"
"","34"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","37"
"","43"
"Primary Education (1-5 Class)",""
"Female","6979"
"Male","7281"
"","14260"
"Secondary Level (Class 9-10)",""
"Female","1355"
"Male","1311"
"","2666"
"SLC and Equivalent",""
"Female","958"
"Male","1006"
"","1964"
