"Population by disability type","Number"
"Blind/low vision",""
"Female","98"
"Male","125"
"","223"
"Deaf/hard of hearing",""
"Female","104"
"Male","109"
"","213"
"Deaf-Blind",""
"Female","10"
"Male","17"
"","27"
"Intellectual disable",""
"Female","18"
"Male","16"
"","34"
"Mental disable",""
"Female","43"
"Male","59"
"","102"
"Multiple disable",""
"Female","72"
"Male","73"
"","145"
"No disability",""
"Female","42170"
"Male","36860"
"","79030"
"Physical",""
"Female","201"
"Male","330"
"","531"
"Speech problem",""
"Female","108"
"Male","105"
"","213"
