"Population by disability type","Number"
"Blind/low vision",""
"Female","88"
"Male","78"
"","166"
"Deaf/hard of hearing",""
"Female","16"
"Male","39"
"","55"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","1"
"Male","6"
"","7"
"Mental disable",""
"Female","10"
"Male","13"
"","23"
"Multiple disable",""
"Female","16"
"Male","12"
"","28"
"No disability",""
"Female","18040"
"Male","18904"
"","36944"
"Physical",""
"Female","48"
"Male","114"
"","162"
"Speech problem",""
"Female","21"
"Male","37"
"","58"
