"Population by Educational Attainment","Number"
"Beginners",""
"Female","153"
"Male","220"
"Graduate and Equivalent",""
"Female","44"
"Male","258"
"Intermediate and Equivalent",""
"Female","145"
"Male","515"
"Level not Stated",""
"Female","70"
"Male","63"
"Lower Secondary (Class 6-8)",""
"Female","1041"
"Male","1672"
"Non Formal Education",""
"Female","62"
"Male","103"
"Others",""
"Female","4"
"Male","19"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","39"
"Primary Education (1-5 Class)",""
"Female","2714"
"Male","3321"
"Secondary Level (Class 9-10)",""
"Female","499"
"Male","1281"
"SLC and Equivalent",""
"Female","285"
"Male","810"
