"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","26"
"","54"
"Deaf/hard of hearing",""
"Female","46"
"Male","72"
"","118"
"Deaf-Blind",""
"Female","3"
"Male","7"
"","10"
"Intellectual disable",""
"Female","7"
"Male","6"
"","13"
"Mental disable",""
"Female","13"
"Male","10"
"","23"
"Multiple disable",""
"Female","28"
"Male","29"
"","57"
"No disability",""
"Female","6670"
"Male","6257"
"","12927"
"Physical",""
"Female","59"
"Male","88"
"","147"
"Speech problem",""
"Female","31"
"Male","34"
"","65"
