"Population by Educational Attainment","Number"
"Beginners",""
"Female","13"
"Male","14"
"Graduate and Equivalent",""
"Female","0"
"Male","0"
"Intermediate and Equivalent",""
"Female","2"
"Male","2"
"Level not Stated",""
"Female","0"
"Male","0"
"Lower Secondary (Class 6-8)",""
"Female","12"
"Male","25"
"Non Formal Education",""
"Female","69"
"Male","60"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","0"
"Primary Education (1-5 Class)",""
"Female","87"
"Male","93"
"Secondary Level (Class 9-10)",""
"Female","4"
"Male","10"
"SLC and Equivalent",""
"Female","4"
"Male","6"
