"Population by Five Years Age Group","Number"
"0-4",""
"Female","9"
"Male","17"
"10-14",""
"Female","26"
"Male","19"
"15-19",""
"Female","22"
"Male","19"
"20-24",""
"Female","27"
"Male","29"
"25-29",""
"Female","18"
"Male","31"
"30-34",""
"Female","20"
"Male","30"
"35-39",""
"Female","25"
"Male","20"
"40-44",""
"Female","21"
"Male","18"
"45-49",""
"Female","12"
"Male","15"
"50-54",""
"Female","19"
"Male","16"
"55-59",""
"Female","13"
"Male","10"
"5-9",""
"Female","29"
"Male","25"
"60-64",""
"Female","17"
"Male","6"
"65-69",""
"Female","3"
"Male","12"
"70-74",""
"Female","10"
"Male","2"
"75+",""
"Female","9"
"Male","5"
