"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","45"
"","85"
"Deaf/hard of hearing",""
"Female","33"
"Male","30"
"","63"
"Deaf-Blind",""
"Female","0"
"Male","4"
"","4"
"Intellectual disable",""
"Female","4"
"Male","9"
"","13"
"Mental disable",""
"Female","13"
"Male","18"
"","31"
"Multiple disable",""
"Female","26"
"Male","28"
"","54"
"No disability",""
"Female","18053"
"Male","16704"
"","34757"
"Physical",""
"Female","76"
"Male","95"
"","171"
"Speech problem",""
"Female","64"
"Male","93"
"","157"
