"Population by Single Year of Age","Number"
"0",""
"Female","112"
"Male","159"
"1",""
"Female","124"
"Male","128"
"10",""
"Female","228"
"Male","230"
"11",""
"Female","223"
"Male","179"
"12",""
"Female","234"
"Male","233"
"13",""
"Female","215"
"Male","234"
"14",""
"Female","247"
"Male","239"
"15",""
"Female","257"
"Male","224"
"16",""
"Female","224"
"Male","198"
"17",""
"Female","230"
"Male","197"
"18",""
"Female","215"
"Male","167"
"19",""
"Female","164"
"Male","113"
"2",""
"Female","138"
"Male","141"
"20",""
"Female","148"
"Male","105"
"21",""
"Female","197"
"Male","98"
"22",""
"Female","196"
"Male","79"
"23",""
"Female","159"
"Male","61"
"24",""
"Female","130"
"Male","64"
"25",""
"Female","206"
"Male","62"
"26",""
"Female","129"
"Male","59"
"27",""
"Female","125"
"Male","40"
"28",""
"Female","157"
"Male","72"
"29",""
"Female","91"
"Male","35"
"3",""
"Female","133"
"Male","117"
"30",""
"Female","191"
"Male","66"
"31",""
"Female","74"
"Male","29"
"32",""
"Female","119"
"Male","52"
"33",""
"Female","76"
"Male","41"
"34",""
"Female","69"
"Male","36"
"35",""
"Female","210"
"Male","71"
"36",""
"Female","92"
"Male","43"
"37",""
"Female","96"
"Male","38"
"38",""
"Female","122"
"Male","44"
"39",""
"Female","79"
"Male","43"
"4",""
"Female","174"
"Male","146"
"40",""
"Female","218"
"Male","88"
"41",""
"Female","72"
"Male","45"
"42",""
"Female","94"
"Male","60"
"43",""
"Female","52"
"Male","45"
"44",""
"Female","62"
"Male","42"
"45",""
"Female","164"
"Male","81"
"46",""
"Female","87"
"Male","50"
"47",""
"Female","83"
"Male","50"
"48",""
"Female","91"
"Male","58"
"49",""
"Female","77"
"Male","51"
"5",""
"Female","140"
"Male","158"
"50",""
"Female","163"
"Male","106"
"51",""
"Female","76"
"Male","60"
"52",""
"Female","86"
"Male","74"
"53",""
"Female","62"
"Male","66"
"54",""
"Female","53"
"Male","67"
"55",""
"Female","133"
"Male","88"
"56",""
"Female","80"
"Male","68"
"57",""
"Female","84"
"Male","61"
"58",""
"Female","83"
"Male","62"
"59",""
"Female","60"
"Male","45"
"6",""
"Female","150"
"Male","178"
"60",""
"Female","136"
"Male","95"
"61",""
"Female","52"
"Male","49"
"62",""
"Female","72"
"Male","64"
"63",""
"Female","51"
"Male","63"
"64",""
"Female","51"
"Male","49"
"65",""
"Female","114"
"Male","74"
"66",""
"Female","34"
"Male","39"
"67",""
"Female","63"
"Male","50"
"68",""
"Female","82"
"Male","60"
"69",""
"Female","33"
"Male","47"
"7",""
"Female","174"
"Male","171"
"70",""
"Female","97"
"Male","68"
"71",""
"Female","37"
"Male","42"
"72",""
"Female","39"
"Male","46"
"73",""
"Female","17"
"Male","39"
"74",""
"Female","29"
"Male","18"
"75",""
"Female","53"
"Male","46"
"76",""
"Female","18"
"Male","30"
"77",""
"Female","25"
"Male","22"
"78",""
"Female","43"
"Male","42"
"79",""
"Female","11"
"Male","21"
"8",""
"Female","208"
"Male","188"
"80",""
"Female","30"
"Male","31"
"81",""
"Female","15"
"Male","13"
"82",""
"Female","13"
"Male","14"
"83",""
"Female","11"
"Male","9"
"84",""
"Female","24"
"Male","13"
"85",""
"Female","53"
"Male","47"
"9",""
"Female","178"
"Male","182"
