"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","22"
"","47"
"Deaf/hard of hearing",""
"Female","32"
"Male","37"
"","69"
"Deaf-Blind",""
"Female","4"
"Male","0"
"","4"
"Intellectual disable",""
"Female","7"
"Male","9"
"","16"
"Mental disable",""
"Female","6"
"Male","4"
"","10"
"Multiple disable",""
"Female","31"
"Male","37"
"","68"
"No disability",""
"Female","7432"
"Male","6692"
"","14124"
"Physical",""
"Female","74"
"Male","104"
"","178"
"Speech problem",""
"Female","22"
"Male","24"
"","46"
