"Population by Educational Attainment","Number"
"Beginners",""
"Female","642"
"Male","746"
"","1388"
"Graduate and Equivalent",""
"Female","57"
"Male","157"
"","214"
"Intermediate and Equivalent",""
"Female","394"
"Male","517"
"","911"
"Level not Stated",""
"Female","118"
"Male","100"
"","218"
"Lower Secondary (Class 6-8)",""
"Female","2285"
"Male","2878"
"","5163"
"Non Formal Education",""
"Female","567"
"Male","485"
"","1052"
"Others",""
"Female","9"
"Male","12"
"","21"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","31"
"","41"
"Primary Education (1-5 Class)",""
"Female","6365"
"Male","7103"
"","13468"
"Secondary Level (Class 9-10)",""
"Female","886"
"Male","1355"
"","2241"
"SLC and Equivalent",""
"Female","540"
"Male","880"
"","1420"
