"Population by disability type","Number"
"Blind/low vision",""
"Female","217"
"Male","203"
"","420"
"Deaf/hard of hearing",""
"Female","292"
"Male","256"
"","548"
"Deaf-Blind",""
"Female","17"
"Male","11"
"","28"
"Intellectual disable",""
"Female","13"
"Male","12"
"","25"
"Mental disable",""
"Female","20"
"Male","34"
"","54"
"Multiple disable",""
"Female","83"
"Male","81"
"","164"
"No disability",""
"Female","27152"
"Male","23704"
"","50856"
"Physical",""
"Female","292"
"Male","433"
"","725"
"Speech problem",""
"Female","87"
"Male","111"
"","198"
