"Population by disability type","Number"
"Blind/low vision",""
"Female","99"
"Male","64"
"","163"
"Deaf/hard of hearing",""
"Female","82"
"Male","83"
"","165"
"Deaf-Blind",""
"Female","7"
"Male","4"
"","11"
"Intellectual disable",""
"Female","12"
"Male","15"
"","27"
"Mental disable",""
"Female","21"
"Male","26"
"","47"
"Multiple disable",""
"Female","56"
"Male","59"
"","115"
"No disability",""
"Female","9494"
"Male","7810"
"","17304"
"Physical",""
"Female","103"
"Male","124"
"","227"
"Speech problem",""
"Female","38"
"Male","56"
"","94"
