"Population by disability type","Number"
"Blind/low vision",""
"Female","20"
"Male","29"
"","49"
"Deaf/hard of hearing",""
"Female","20"
"Male","16"
"","36"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","8"
"Male","9"
"","17"
"Mental disable",""
"Female","16"
"Male","12"
"","28"
"Multiple disable",""
"Female","13"
"Male","14"
"","27"
"No disability",""
"Female","9757"
"Male","7303"
"","17060"
"Physical",""
"Female","32"
"Male","64"
"","96"
"Speech problem",""
"Female","12"
"Male","16"
"","28"
