"Population by disability type","Number"
"Blind/low vision",""
"Female","14"
"Male","14"
"","28"
"Deaf/hard of hearing",""
"Female","14"
"Male","16"
"","30"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","11"
"Male","14"
"","25"
"Multiple disable",""
"Female","21"
"Male","17"
"","38"
"No disability",""
"Female","9970"
"Male","9187"
"","19157"
"Physical",""
"Female","20"
"Male","34"
"","54"
"Speech problem",""
"Female","9"
"Male","12"
"","21"
