"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","55"
"","104"
"Deaf/hard of hearing",""
"Female","50"
"Male","69"
"","119"
"Deaf-Blind",""
"Female","3"
"Male","0"
"","3"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","5"
"Male","8"
"","13"
"Multiple disable",""
"Female","12"
"Male","12"
"","24"
"No disability",""
"Female","4118"
"Male","3877"
"","7995"
"Physical",""
"Female","100"
"Male","127"
"","227"
"Speech problem",""
"Female","10"
"Male","14"
"","24"
