"Population by Educational Attainment","Number"
"Beginners",""
"Female","359"
"Male","383"
"Graduate and Equivalent",""
"Female","67"
"Male","248"
"Intermediate and Equivalent",""
"Female","382"
"Male","553"
"Level not Stated",""
"Female","41"
"Male","43"
"Lower Secondary (Class 6-8)",""
"Female","1627"
"Male","1805"
"Non Formal Education",""
"Female","416"
"Male","311"
"Others",""
"Female","4"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","14"
"Male","64"
"Primary Education (1-5 Class)",""
"Female","3378"
"Male","3604"
"Secondary Level (Class 9-10)",""
"Female","920"
"Male","1230"
"SLC and Equivalent",""
"Female","441"
"Male","503"
