"Population by Educational Attainment","Number"
"Beginners",""
"Female","56"
"Male","55"
"","111"
"Graduate and Equivalent",""
"Female","2"
"Male","6"
"","8"
"Intermediate and Equivalent",""
"Female","12"
"Male","27"
"","39"
"Level not Stated",""
"Female","1"
"Male","6"
"","7"
"Lower Secondary (Class 6-8)",""
"Female","140"
"Male","185"
"","325"
"Non Formal Education",""
"Female","8"
"Male","18"
"","26"
"Others",""
"Female","10"
"Male","55"
"","65"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"","2"
"Primary Education (1-5 Class)",""
"Female","535"
"Male","762"
"","1297"
"Secondary Level (Class 9-10)",""
"Female","38"
"Male","71"
"","109"
"SLC and Equivalent",""
"Female","13"
"Male","44"
"","57"
