"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","59"
"","96"
"Deaf/hard of hearing",""
"Female","19"
"Male","21"
"","40"
"Deaf-Blind",""
"Female","2"
"Male","8"
"","10"
"Intellectual disable",""
"Female","2"
"Male","9"
"","11"
"Mental disable",""
"Female","10"
"Male","22"
"","32"
"Multiple disable",""
"Female","11"
"Male","19"
"","30"
"No disability",""
"Female","15852"
"Male","16953"
"","32805"
"Physical",""
"Female","64"
"Male","112"
"","176"
"Speech problem",""
"Female","17"
"Male","48"
"","65"
