"Population by Educational Attainment","Number"
"Beginners",""
"Female","108"
"Male","127"
"","235"
"Graduate and Equivalent",""
"Female","25"
"Male","169"
"","194"
"Intermediate and Equivalent",""
"Female","127"
"Male","353"
"","480"
"Level not Stated",""
"Female","80"
"Male","101"
"","181"
"Lower Secondary (Class 6-8)",""
"Female","659"
"Male","1601"
"","2260"
"Non Formal Education",""
"Female","10"
"Male","13"
"","23"
"Others",""
"Female","5"
"Male","20"
"","25"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","58"
"","67"
"Primary Education (1-5 Class)",""
"Female","2628"
"Male","3781"
"","6409"
"Secondary Level (Class 9-10)",""
"Female","264"
"Male","850"
"","1114"
"SLC and Equivalent",""
"Female","139"
"Male","434"
"","573"
