"Population by disability type","Number"
"Blind/low vision",""
"Female","66"
"Male","65"
"","131"
"Deaf/hard of hearing",""
"Female","83"
"Male","84"
"","167"
"Deaf-Blind",""
"Female","10"
"Male","8"
"","18"
"Intellectual disable",""
"Female","15"
"Male","26"
"","41"
"Mental disable",""
"Female","22"
"Male","17"
"","39"
"Multiple disable",""
"Female","38"
"Male","33"
"","71"
"No disability",""
"Female","17788"
"Male","14337"
"","32125"
"Physical",""
"Female","88"
"Male","158"
"","246"
"Speech problem",""
"Female","59"
"Male","46"
"","105"
