"Population by Single Year of Age","Number"
"0",""
"Female","337"
"Male","319"
"1",""
"Female","280"
"Male","324"
"10",""
"Female","504"
"Male","510"
"11",""
"Female","483"
"Male","434"
"12",""
"Female","533"
"Male","545"
"13",""
"Female","506"
"Male","467"
"14",""
"Female","508"
"Male","480"
"15",""
"Female","482"
"Male","476"
"16",""
"Female","499"
"Male","402"
"17",""
"Female","487"
"Male","402"
"18",""
"Female","581"
"Male","380"
"19",""
"Female","365"
"Male","246"
"2",""
"Female","337"
"Male","301"
"20",""
"Female","465"
"Male","259"
"21",""
"Female","384"
"Male","207"
"22",""
"Female","444"
"Male","249"
"23",""
"Female","341"
"Male","201"
"24",""
"Female","350"
"Male","183"
"25",""
"Female","446"
"Male","214"
"26",""
"Female","370"
"Male","147"
"27",""
"Female","337"
"Male","176"
"28",""
"Female","397"
"Male","233"
"29",""
"Female","212"
"Male","147"
"3",""
"Female","316"
"Male","365"
"30",""
"Female","482"
"Male","196"
"31",""
"Female","188"
"Male","152"
"32",""
"Female","315"
"Male","199"
"33",""
"Female","208"
"Male","136"
"34",""
"Female","204"
"Male","151"
"35",""
"Female","466"
"Male","275"
"36",""
"Female","239"
"Male","174"
"37",""
"Female","212"
"Male","119"
"38",""
"Female","273"
"Male","172"
"39",""
"Female","187"
"Male","124"
"4",""
"Female","337"
"Male","354"
"40",""
"Female","453"
"Male","289"
"41",""
"Female","172"
"Male","118"
"42",""
"Female","239"
"Male","186"
"43",""
"Female","175"
"Male","119"
"44",""
"Female","152"
"Male","126"
"45",""
"Female","397"
"Male","289"
"46",""
"Female","207"
"Male","159"
"47",""
"Female","154"
"Male","128"
"48",""
"Female","240"
"Male","214"
"49",""
"Female","118"
"Male","145"
"5",""
"Female","369"
"Male","374"
"50",""
"Female","330"
"Male","291"
"51",""
"Female","154"
"Male","140"
"52",""
"Female","187"
"Male","186"
"53",""
"Female","128"
"Male","119"
"54",""
"Female","110"
"Male","107"
"55",""
"Female","182"
"Male","209"
"56",""
"Female","161"
"Male","147"
"57",""
"Female","92"
"Male","106"
"58",""
"Female","127"
"Male","142"
"59",""
"Female","114"
"Male","107"
"6",""
"Female","357"
"Male","369"
"60",""
"Female","268"
"Male","209"
"61",""
"Female","86"
"Male","119"
"62",""
"Female","121"
"Male","103"
"63",""
"Female","87"
"Male","70"
"64",""
"Female","92"
"Male","80"
"65",""
"Female","206"
"Male","151"
"66",""
"Female","73"
"Male","73"
"67",""
"Female","84"
"Male","80"
"68",""
"Female","98"
"Male","129"
"69",""
"Female","47"
"Male","53"
"7",""
"Female","437"
"Male","426"
"70",""
"Female","125"
"Male","138"
"71",""
"Female","34"
"Male","39"
"72",""
"Female","63"
"Male","83"
"73",""
"Female","41"
"Male","50"
"74",""
"Female","39"
"Male","37"
"75",""
"Female","82"
"Male","84"
"76",""
"Female","31"
"Male","38"
"77",""
"Female","26"
"Male","48"
"78",""
"Female","44"
"Male","47"
"79",""
"Female","19"
"Male","37"
"8",""
"Female","435"
"Male","462"
"80",""
"Female","49"
"Male","39"
"81",""
"Female","12"
"Male","18"
"82",""
"Female","18"
"Male","19"
"83",""
"Female","26"
"Male","21"
"84",""
"Female","9"
"Male","20"
"85",""
"Female","76"
"Male","84"
"9",""
"Female","405"
"Male","392"
