"Population by disability type","Number"
"Blind/low vision",""
"Female","92"
"Male","74"
"","166"
"Deaf/hard of hearing",""
"Female","81"
"Male","53"
"","134"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","11"
"Male","6"
"","17"
"Mental disable",""
"Female","9"
"Male","14"
"","23"
"Multiple disable",""
"Female","34"
"Male","30"
"","64"
"No disability",""
"Female","11492"
"Male","8617"
"","20109"
"Physical",""
"Female","162"
"Male","167"
"","329"
"Speech problem",""
"Female","27"
"Male","27"
"","54"
