"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","5"
"Male","6"
"Baraee",""
"Female","1346"
"Male","1461"
"Bin",""
"Female","272"
"Male","291"
"Brahman - Hill",""
"Female","114"
"Male","122"
"Brahman - Tarai",""
"Female","100"
"Male","98"
"Chamar/ Harijan/ Ram",""
"Female","410"
"Male","434"
"Chhetri",""
"Female","153"
"Male","155"
"Damai/Dholi",""
"Female","46"
"Male","40"
"Dhanuk",""
"Female","81"
"Male","77"
"Dhobi",""
"Female","136"
"Male","153"
"Dhunia",""
"Female","114"
"Male","138"
"Dom",""
"Female","26"
"Male","23"
"Dusadh/ Pasawan/ Pasi",""
"Female","497"
"Male","487"
"Gaderi/Bhedihar",""
"Female","61"
"Male","70"
"Hajam/Thakur",""
"Female","185"
"Male","209"
"Halwai",""
"Female","5"
"Male","8"
"Kalwar",""
"Female","284"
"Male","314"
"Kanu",""
"Female","545"
"Male","584"
"Kathabaniyan",""
"Female","42"
"Male","36"
"Kayastha",""
"Female","113"
"Male","110"
"Kewat",""
"Female","285"
"Male","298"
"Koiri/Kushwaha",""
"Female","655"
"Male","713"
"Kumal",""
"Female","55"
"Male","66"
"Kumhar",""
"Female","23"
"Male","28"
"Kurmi",""
"Female","1120"
"Male","1162"
"Lohar",""
"Female","206"
"Male","220"
"Magar",""
"Female","235"
"Male","269"
"Mali",""
"Female","33"
"Male","40"
"Mallaha",""
"Female","496"
"Male","534"
"Musahar",""
"Female","84"
"Male","81"
"Musalman",""
"Female","1194"
"Male","1330"
"Newar",""
"Female","9"
"Male","8"
"Nuniya",""
"Female","77"
"Male","71"
"Others",""
"Female","13"
"Male","13"
"Rai",""
"Female","23"
"Male","19"
"Rajdhob",""
"Female","7"
"Male","11"
"Rajput",""
"Female","15"
"Male","11"
"Sanyasi/Dasnami",""
"Female","119"
"Male","122"
"Sonar",""
"Female","33"
"Male","37"
"Tajpuriya",""
"Female","11"
"Male","10"
"Tatma/Tatwa",""
"Female","203"
"Male","218"
"Teli",""
"Female","558"
"Male","605"
"Terai Others",""
"Female","32"
"Male","32"
"Undefined Others",""
"Female","9"
"Male","16"
"Yadav",""
"Female","154"
"Male","186"
"Yakkha",""
"Female","18"
"Male","23"
