"Population by Educational Attainment","Number"
"Beginners",""
"Female","119"
"Male","143"
"Graduate and Equivalent",""
"Female","22"
"Male","152"
"Intermediate and Equivalent",""
"Female","48"
"Male","301"
"Level not Stated",""
"Female","72"
"Male","131"
"Lower Secondary (Class 6-8)",""
"Female","787"
"Male","1480"
"Non Formal Education",""
"Female","49"
"Male","76"
"Others",""
"Female","10"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","9"
"Primary Education (1-5 Class)",""
"Female","2160"
"Male","2775"
"Secondary Level (Class 9-10)",""
"Female","280"
"Male","1030"
"SLC and Equivalent",""
"Female","144"
"Male","433"
