"Population by Educational Attainment","Number"
"Beginners",""
"Female","5231"
"Male","6424"
"","11655"
"Graduate and Equivalent",""
"Female","2756"
"Male","8071"
"","10827"
"Intermediate and Equivalent",""
"Female","5748"
"Male","12682"
"","18430"
"Level not Stated",""
"Female","806"
"Male","1054"
"","1860"
"Lower Secondary (Class 6-8)",""
"Female","21876"
"Male","39053"
"","60929"
"Non Formal Education",""
"Female","1465"
"Male","1829"
"","3294"
"Others",""
"Female","171"
"Male","208"
"","379"
"Post Graduate Equivalent and Above",""
"Female","586"
"Male","2025"
"","2611"
"Primary Education (1-5 Class)",""
"Female","58920"
"Male","79353"
"","138273"
"Secondary Level (Class 9-10)",""
"Female","9888"
"Male","22704"
"","32592"
"SLC and Equivalent",""
"Female","7404"
"Male","13853"
"","21257"
