"Population by disability type","Number"
"Blind/low vision",""
"Female","801"
"Male","914"
"","1715"
"Deaf/hard of hearing",""
"Female","280"
"Male","315"
"","595"
"Deaf-Blind",""
"Female","40"
"Male","64"
"","104"
"Intellectual disable",""
"Female","63"
"Male","86"
"","149"
"Mental disable",""
"Female","156"
"Male","283"
"","439"
"Multiple disable",""
"Female","165"
"Male","210"
"","375"
"No disability",""
"Female","285758"
"Male","305846"
"","591604"
"Physical",""
"Female","789"
"Male","1344"
"","2133"
"Speech problem",""
"Female","245"
"Male","410"
"","655"
