"Population by Educational Attainment","Number"
"Beginners",""
"Female","273"
"Male","329"
"Graduate and Equivalent",""
"Female","117"
"Male","236"
"Intermediate and Equivalent",""
"Female","667"
"Male","619"
"Level not Stated",""
"Female","42"
"Male","58"
"Lower Secondary (Class 6-8)",""
"Female","2750"
"Male","2711"
"Non Formal Education",""
"Female","1609"
"Male","1337"
"Others",""
"Female","9"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","34"
"Male","141"
"Primary Education (1-5 Class)",""
"Female","5375"
"Male","5998"
"Secondary Level (Class 9-10)",""
"Female","1322"
"Male","1495"
"SLC and Equivalent",""
"Female","1023"
"Male","1174"
