"Industries Employment","Number"
"Accommodation,  food",""
"Female","434"
"Male","466"
"Administrative, support service",""
"Female","2"
"Male","11"
"Agriculture, forestry and  fishing",""
"Female","71"
"Male","417"
"Arts, entertainment, recreation",""
"Female","0"
"Male","2"
"Construction",""
"Female","4"
"Male","91"
"Education",""
"Female","667"
"Male","1632"
"Electricity, gas and water",""
"Female","0"
"Male","58"
"Financial intermediation and insurance",""
"Female","23"
"Male","74"
"Health, social work",""
"Female","171"
"Male","204"
"Information and communication",""
"Female","8"
"Male","24"
"Manufacturing",""
"Female","293"
"Male","824"
"Other service activities",""
"Female","131"
"Male","306"
"Professional, scientific, techniqual activity",""
"Female","4"
"Male","12"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","5"
"Male","23"
"Water supply, wet management",""
"Female","29"
"Male","78"
"Wholesale, retail trade",""
"Female","1401"
"Male","1729"
