"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","24"
"","51"
"Deaf/hard of hearing",""
"Female","17"
"Male","13"
"","30"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","6"
"Male","7"
"","13"
"Multiple disable",""
"Female","5"
"Male","5"
"","10"
"No disability",""
"Female","11114"
"Male","11182"
"","22296"
"Physical",""
"Female","65"
"Male","81"
"","146"
"Speech problem",""
"Female","8"
"Male","14"
"","22"
