"Population by Educational Attainment","Number"
"Beginners",""
"Female","32"
"Male","42"
"","74"
"Graduate and Equivalent",""
"Female","27"
"Male","175"
"","202"
"Intermediate and Equivalent",""
"Female","102"
"Male","359"
"","461"
"Level not Stated",""
"Female","64"
"Male","52"
"","116"
"Lower Secondary (Class 6-8)",""
"Female","854"
"Male","1226"
"","2080"
"Non Formal Education",""
"Female","7"
"Male","19"
"","26"
"Others",""
"Female","3"
"Male","5"
"","8"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","45"
"","51"
"Primary Education (1-5 Class)",""
"Female","1712"
"Male","2108"
"","3820"
"Secondary Level (Class 9-10)",""
"Female","341"
"Male","820"
"","1161"
"SLC and Equivalent",""
"Female","270"
"Male","839"
"","1109"
