"Population by Caste Ethinicity","Number"
"Baraee",""
"Female","23"
"Male","28"
"","51"
"Bin",""
"Female","491"
"Male","529"
"","1020"
"Brahman - Hill",""
"Female","786"
"Male","784"
"","1570"
"Brahman - Tarai",""
"Female","54"
"Male","59"
"","113"
"Chamar/ Harijan/ Ram",""
"Female","816"
"Male","812"
"","1628"
"Chhetri",""
"Female","212"
"Male","204"
"","416"
"Damai/Dholi",""
"Female","34"
"Male","38"
"","72"
"Dhanuk",""
"Female","5"
"Male","7"
"","12"
"Dhobi",""
"Female","478"
"Male","490"
"","968"
"Dom",""
"Female","10"
"Male","17"
"","27"
"Dusadh/ Pasawan/ Pasi",""
"Female","531"
"Male","533"
"","1064"
"Gaderi/Bhedihar",""
"Female","6"
"Male","7"
"","13"
"Gharti/Bhujel",""
"Female","87"
"Male","114"
"","201"
"Hajam/Thakur",""
"Female","268"
"Male","254"
"","522"
"Kahar",""
"Female","38"
"Male","31"
"","69"
"Kalwar",""
"Female","483"
"Male","531"
"","1014"
"Kami",""
"Female","53"
"Male","70"
"","123"
"Kanu",""
"Female","463"
"Male","469"
"","932"
"Kathabaniyan",""
"Female","39"
"Male","52"
"","91"
"Kayastha",""
"Female","40"
"Male","46"
"","86"
"Kewat",""
"Female","4"
"Male","7"
"","11"
"Khatwe",""
"Female","52"
"Male","48"
"","100"
"Koiri/Kushwaha",""
"Female","366"
"Male","409"
"","775"
"Kumal",""
"Female","241"
"Male","260"
"","501"
"Kumhar",""
"Female","124"
"Male","127"
"","251"
"Kurmi",""
"Female","932"
"Male","958"
"","1890"
"Lohar",""
"Female","303"
"Male","333"
"","636"
"Magar",""
"Female","202"
"Male","216"
"","418"
"Majhi",""
"Female","47"
"Male","40"
"","87"
"Mali",""
"Female","24"
"Male","17"
"","41"
"Mallaha",""
"Female","20"
"Male","19"
"","39"
"Musahar",""
"Female","443"
"Male","429"
"","872"
"Musalman",""
"Female","1929"
"Male","1846"
"","3775"
"Natuwa",""
"Female","5"
"Male","8"
"","13"
"Newar",""
"Female","111"
"Male","125"
"","236"
"Nuniya",""
"Female","321"
"Male","316"
"","637"
"Others",""
"Female","26"
"Male","20"
"","46"
"Rajput",""
"Female","27"
"Male","22"
"","49"
"Sanyasi/Dasnami",""
"Female","126"
"Male","150"
"","276"
"Sonar",""
"Female","417"
"Male","428"
"","845"
"Sunuwar",""
"Female","20"
"Male","31"
"","51"
"Tamang",""
"Female","74"
"Male","90"
"","164"
"Tatma/Tatwa",""
"Female","203"
"Male","217"
"","420"
"Teli",""
"Female","340"
"Male","375"
"","715"
"Terai Others",""
"Female","44"
"Male","35"
"","79"
"Thami",""
"Female","9"
"Male","12"
"","21"
"Tharu",""
"Female","2563"
"Male","2553"
"","5116"
"Yadav",""
"Female","3963"
"Male","4289"
"","8252"
