"Population by Educational Attainment","Number"
"Beginners",""
"Female","502"
"Male","550"
"","1052"
"Graduate and Equivalent",""
"Female","414"
"Male","608"
"","1022"
"Intermediate and Equivalent",""
"Female","1194"
"Male","1367"
"","2561"
"Level not Stated",""
"Female","148"
"Male","138"
"","286"
"Lower Secondary (Class 6-8)",""
"Female","3200"
"Male","3493"
"","6693"
"Non Formal Education",""
"Female","1085"
"Male","908"
"","1993"
"Others",""
"Female","16"
"Male","10"
"","26"
"Post Graduate Equivalent and Above",""
"Female","63"
"Male","158"
"","221"
"Primary Education (1-5 Class)",""
"Female","5066"
"Male","5561"
"","10627"
"Secondary Level (Class 9-10)",""
"Female","2183"
"Male","2495"
"","4678"
"SLC and Equivalent",""
"Female","1874"
"Male","2279"
"","4153"
