"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","38"
"","85"
"Deaf/hard of hearing",""
"Female","52"
"Male","64"
"","116"
"Deaf-Blind",""
"Female","7"
"Male","17"
"","24"
"Intellectual disable",""
"Female","5"
"Male","14"
"","19"
"Mental disable",""
"Female","25"
"Male","21"
"","46"
"Multiple disable",""
"Female","23"
"Male","27"
"","50"
"No disability",""
"Female","24489"
"Male","21426"
"","45915"
"Physical",""
"Female","111"
"Male","150"
"","261"
"Speech problem",""
"Female","28"
"Male","51"
"","79"
