"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","32"
"","57"
"Deaf/hard of hearing",""
"Female","25"
"Male","23"
"","48"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","7"
"Male","6"
"","13"
"Mental disable",""
"Female","19"
"Male","17"
"","36"
"Multiple disable",""
"Female","19"
"Male","20"
"","39"
"No disability",""
"Female","18497"
"Male","17447"
"","35944"
"Physical",""
"Female","54"
"Male","72"
"","126"
"Speech problem",""
"Female","31"
"Male","38"
"","69"
