"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","25"
"Male","38"
"","63"
"Bhujel",""
"Female","29"
"Male","34"
"","63"
"Chamling",""
"Female","8"
"Male","9"
"","17"
"Danuwar",""
"Female","318"
"Male","271"
"","589"
"Doteli",""
"Female","38"
"Male","42"
"","80"
"Hariyanwi",""
"Female","60"
"Male","47"
"","107"
"Hindi",""
"Female","28"
"Male","22"
"","50"
"Jero/Jerung",""
"Female","25"
"Male","20"
"","45"
"Magahi",""
"Female","1086"
"Male","892"
"","1978"
"Magar",""
"Female","1289"
"Male","1202"
"","2491"
"Maithili",""
"Female","12251"
"Male","11682"
"","23933"
"Nepali",""
"Female","2218"
"Male","2172"
"","4390"
"Newar",""
"Female","283"
"Male","287"
"","570"
"Not Reported",""
"Female","124"
"Male","119"
"","243"
"Others",""
"Female","15"
"Male","18"
"","33"
"Rai",""
"Female","34"
"Male","37"
"","71"
"Sunuwar",""
"Female","74"
"Male","48"
"","122"
"Tamang",""
"Female","535"
"Male","491"
"","1026"
"Urdu",""
"Female","242"
"Male","225"
"","467"
