"Population by Educational Attainment","Number"
"Beginners",""
"Female","129"
"Male","240"
"","369"
"Graduate and Equivalent",""
"Female","77"
"Male","179"
"","256"
"Intermediate and Equivalent",""
"Female","251"
"Male","434"
"","685"
"Level not Stated",""
"Female","280"
"Male","319"
"","599"
"Lower Secondary (Class 6-8)",""
"Female","1516"
"Male","2105"
"","3621"
"Non Formal Education",""
"Female","114"
"Male","142"
"","256"
"Others",""
"Female","63"
"Male","39"
"","102"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","41"
"","47"
"Primary Education (1-5 Class)",""
"Female","3508"
"Male","4208"
"","7716"
"Secondary Level (Class 9-10)",""
"Female","599"
"Male","1108"
"","1707"
"SLC and Equivalent",""
"Female","473"
"Male","814"
"","1287"
