"Population by disability type","Number"
"Blind/low vision",""
"Female","7719"
"Male","6540"
"","14259"
"Deaf/hard of hearing",""
"Female","5180"
"Male","5734"
"","10914"
"Deaf-Blind",""
"Female","665"
"Male","586"
"","1251"
"Intellectual disable",""
"Female","585"
"Male","743"
"","1328"
"Mental disable",""
"Female","1390"
"Male","1782"
"","3172"
"Multiple disable",""
"Female","2092"
"Male","2277"
"","4369"
"No disability",""
"Female","1300557"
"Male","1162809"
"","2463366"
"Physical",""
"Female","12118"
"Male","14459"
"","26577"
"Speech problem",""
"Female","2356"
"Male","3396"
"","5752"
