"Population by Educational Attainment","Number"
"Beginners",""
"Female","786"
"Male","873"
"Graduate and Equivalent",""
"Female","43"
"Male","169"
"Intermediate and Equivalent",""
"Female","149"
"Male","396"
"Level not Stated",""
"Female","39"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","1616"
"Male","2026"
"Non Formal Education",""
"Female","31"
"Male","60"
"Others",""
"Female","4"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","35"
"Primary Education (1-5 Class)",""
"Female","4941"
"Male","5903"
"Secondary Level (Class 9-10)",""
"Female","665"
"Male","1207"
"SLC and Equivalent",""
"Female","357"
"Male","669"
