"Population by Educational Attainment","Number"
"Beginners",""
"Female","301"
"Male","312"
"","613"
"Graduate and Equivalent",""
"Female","18"
"Male","114"
"","132"
"Intermediate and Equivalent",""
"Female","149"
"Male","212"
"","361"
"Level not Stated",""
"Female","10"
"Male","9"
"","19"
"Lower Secondary (Class 6-8)",""
"Female","1261"
"Male","1512"
"","2773"
"Non Formal Education",""
"Female","52"
"Male","35"
"","87"
"Others",""
"Female","6"
"Male","5"
"","11"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","21"
"","23"
"Primary Education (1-5 Class)",""
"Female","4317"
"Male","4585"
"","8902"
"Secondary Level (Class 9-10)",""
"Female","533"
"Male","703"
"","1236"
"SLC and Equivalent",""
"Female","252"
"Male","369"
"","621"
