"Population by disability type","Number"
"Blind/low vision",""
"Female","5"
"Male","7"
"","12"
"Deaf/hard of hearing",""
"Female","29"
"Male","22"
"","51"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","9"
"Male","4"
"","13"
"Multiple disable",""
"Female","23"
"Male","24"
"","47"
"No disability",""
"Female","2715"
"Male","2908"
"","5623"
"Physical",""
"Female","14"
"Male","28"
"","42"
"Speech problem",""
"Female","13"
"Male","21"
"","34"
