"Population by Mother tongue","Number"
"Bahing",""
"Female","9"
"Male","14"
"","23"
"Bantawa",""
"Female","5611"
"Male","4924"
"","10535"
"Bhojpuri",""
"Female","78"
"Male","94"
"","172"
"Bhujel",""
"Female","42"
"Male","46"
"","88"
"Chamling",""
"Female","643"
"Male","602"
"","1245"
"Doteli",""
"Female","7"
"Male","8"
"","15"
"Dumi",""
"Female","8"
"Male","5"
"","13"
"Gurung",""
"Female","1073"
"Male","1005"
"","2078"
"Hindi",""
"Female","19"
"Male","25"
"","44"
"Khaling",""
"Female","162"
"Male","160"
"","322"
"Koyee",""
"Female","5"
"Male","6"
"","11"
"Kulung",""
"Female","14"
"Male","21"
"","35"
"Limbu",""
"Female","41016"
"Male","35819"
"","76835"
"Magar",""
"Female","3050"
"Male","2549"
"","5599"
"Maithili",""
"Female","182"
"Male","305"
"","487"
"Majhi",""
"Female","16"
"Male","15"
"","31"
"Nachhiring",""
"Female","103"
"Male","110"
"","213"
"Nepali",""
"Female","34422"
"Male","30153"
"","64575"
"Newar",""
"Female","538"
"Male","489"
"","1027"
"Not Reported",""
"Female","244"
"Male","230"
"","474"
"Others",""
"Female","234"
"Male","200"
"","434"
"Puma",""
"Female","8"
"Male","5"
"","13"
"Rai",""
"Female","5352"
"Male","4661"
"","10013"
"Rajbanshi",""
"Female","17"
"Male","41"
"","58"
"Sampang",""
"Female","308"
"Male","269"
"","577"
"Sherpa",""
"Female","305"
"Male","272"
"","577"
"Sign Language",""
"Female","11"
"Male","12"
"","23"
"Sunuwar",""
"Female","751"
"Male","663"
"","1414"
"Tamang",""
"Female","6796"
"Male","5663"
"","12459"
"Tharu",""
"Female","14"
"Male","31"
"","45"
"Thulung",""
"Female","204"
"Male","198"
"","402"
"Urdu",""
"Female","8"
"Male","13"
"","21"
"Yakkha",""
"Female","331"
"Male","302"
"","633"
