"Population by disability type","Number"
"Blind/low vision",""
"Female","436"
"Male","380"
"","816"
"Deaf/hard of hearing",""
"Female","345"
"Male","410"
"","755"
"Deaf-Blind",""
"Female","42"
"Male","41"
"","83"
"Intellectual disable",""
"Female","71"
"Male","91"
"","162"
"Mental disable",""
"Female","143"
"Male","151"
"","294"
"Multiple disable",""
"Female","247"
"Male","228"
"","475"
"No disability",""
"Female","99194"
"Male","86252"
"","185446"
"Physical",""
"Female","828"
"Male","1098"
"","1926"
"Speech problem",""
"Female","275"
"Male","259"
"","534"
