"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","34"
"","59"
"Deaf/hard of hearing",""
"Female","50"
"Male","58"
"","108"
"Deaf-Blind",""
"Female","7"
"Male","2"
"","9"
"Intellectual disable",""
"Female","6"
"Male","11"
"","17"
"Mental disable",""
"Female","12"
"Male","26"
"","38"
"Multiple disable",""
"Female","16"
"Male","29"
"","45"
"No disability",""
"Female","12072"
"Male","9284"
"","21356"
"Physical",""
"Female","84"
"Male","120"
"","204"
"Speech problem",""
"Female","22"
"Male","41"
"","63"
