"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","47"
"","90"
"Deaf/hard of hearing",""
"Female","43"
"Male","55"
"","98"
"Deaf-Blind",""
"Female","2"
"Male","7"
"","9"
"Intellectual disable",""
"Female","13"
"Male","17"
"","30"
"Mental disable",""
"Female","13"
"Male","10"
"","23"
"Multiple disable",""
"Female","49"
"Male","61"
"","110"
"No disability",""
"Female","11996"
"Male","10799"
"","22795"
"Physical",""
"Female","101"
"Male","134"
"","235"
"Speech problem",""
"Female","42"
"Male","49"
"","91"
