"Population by Educational Attainment","Number"
"Beginners",""
"Female","403"
"Male","384"
"","787"
"Graduate and Equivalent",""
"Female","16"
"Male","57"
"","73"
"Intermediate and Equivalent",""
"Female","165"
"Male","195"
"","360"
"Level not Stated",""
"Female","26"
"Male","31"
"","57"
"Lower Secondary (Class 6-8)",""
"Female","1508"
"Male","1595"
"","3103"
"Non Formal Education",""
"Female","294"
"Male","273"
"","567"
"Others",""
"Female","6"
"Male","5"
"","11"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","16"
"","18"
"Primary Education (1-5 Class)",""
"Female","3281"
"Male","3900"
"","7181"
"Secondary Level (Class 9-10)",""
"Female","608"
"Male","625"
"","1233"
"SLC and Equivalent",""
"Female","558"
"Male","622"
"","1180"
