"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","50"
"","115"
"Deaf/hard of hearing",""
"Female","80"
"Male","62"
"","142"
"Deaf-Blind",""
"Female","11"
"Male","10"
"","21"
"Intellectual disable",""
"Female","14"
"Male","23"
"","37"
"Mental disable",""
"Female","42"
"Male","35"
"","77"
"Multiple disable",""
"Female","28"
"Male","17"
"","45"
"No disability",""
"Female","39909"
"Male","42324"
"","82233"
"Physical",""
"Female","123"
"Male","157"
"","280"
"Speech problem",""
"Female","41"
"Male","45"
"","86"
