"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","16"
"Male","11"
"","27"
"Badi",""
"Female","14"
"Male","16"
"","30"
"Bangali",""
"Female","8"
"Male","17"
"","25"
"Bantar/Sardar",""
"Female","4"
"Male","8"
"","12"
"Baraee",""
"Female","10"
"Male","19"
"","29"
"Bhote",""
"Female","9"
"Male","11"
"","20"
"Brahman - Hill",""
"Female","7722"
"Male","8462"
"","16184"
"Brahman - Tarai",""
"Female","47"
"Male","74"
"","121"
"Chamar/ Harijan/ Ram",""
"Female","1"
"Male","14"
"","15"
"Chhetri",""
"Female","7067"
"Male","7534"
"","14601"
"Dalit Others",""
"Female","61"
"Male","75"
"","136"
"Damai/Dholi",""
"Female","129"
"Male","136"
"","265"
"Danuwar",""
"Female","21"
"Male","29"
"","50"
"Dhanuk",""
"Female","15"
"Male","29"
"","44"
"Dhimal",""
"Female","12"
"Male","13"
"","25"
"Foreigner",""
"Female","8"
"Male","15"
"","23"
"Gharti/Bhujel",""
"Female","88"
"Male","99"
"","187"
"Gurung",""
"Female","276"
"Male","241"
"","517"
"Hajam/Thakur",""
"Female","39"
"Male","100"
"","139"
"Halwai",""
"Female","24"
"Male","37"
"","61"
"Jhangad/ Dhagar",""
"Female","9"
"Male","12"
"","21"
"Jirel",""
"Female","13"
"Male","8"
"","21"
"Kalwar",""
"Female","16"
"Male","33"
"","49"
"Kami",""
"Female","198"
"Male","228"
"","426"
"Kathabaniyan",""
"Female","8"
"Male","13"
"","21"
"Kayastha",""
"Female","41"
"Male","51"
"","92"
"Kewat",""
"Female","6"
"Male","12"
"","18"
"Khawas",""
"Female","2"
"Male","9"
"","11"
"Koiri/Kushwaha",""
"Female","23"
"Male","51"
"","74"
"Kumal",""
"Female","16"
"Male","14"
"","30"
"Kurmi",""
"Female","6"
"Male","16"
"","22"
"Limbu",""
"Female","240"
"Male","243"
"","483"
"Lohar",""
"Female","6"
"Male","8"
"","14"
"Magar",""
"Female","1159"
"Male","1139"
"","2298"
"Majhi",""
"Female","115"
"Male","98"
"","213"
"Mallaha",""
"Female","5"
"Male","9"
"","14"
"Marwadi",""
"Female","6"
"Male","10"
"","16"
"Musalman",""
"Female","209"
"Male","655"
"","864"
"Newar",""
"Female","16987"
"Male","17107"
"","34094"
"Others",""
"Female","45"
"Male","60"
"","105"
"Pahari",""
"Female","13"
"Male","16"
"","29"
"Punjabi/Sikh",""
"Female","16"
"Male","18"
"","34"
"Rai",""
"Female","973"
"Male","841"
"","1814"
"Rajbansi",""
"Female","20"
"Male","25"
"","45"
"Rajput",""
"Female","34"
"Male","44"
"","78"
"Sanyasi/Dasnami",""
"Female","313"
"Male","339"
"","652"
"Sarki",""
"Female","24"
"Male","33"
"","57"
"Satar/ Santhal",""
"Female","6"
"Male","7"
"","13"
"Sherpa",""
"Female","71"
"Male","65"
"","136"
"Sudhi",""
"Female","55"
"Male","61"
"","116"
"Sunuwar",""
"Female","91"
"Male","86"
"","177"
"Tamang",""
"Female","3365"
"Male","3384"
"","6749"
"Teli",""
"Female","53"
"Male","132"
"","185"
"Terai Others",""
"Female","22"
"Male","50"
"","72"
"Thakuri",""
"Female","178"
"Male","232"
"","410"
"Thami",""
"Female","26"
"Male","28"
"","54"
"Tharu",""
"Female","280"
"Male","422"
"","702"
"Thulung",""
"Female","5"
"Male","7"
"","12"
"Undefined Others",""
"Female","7"
"Male","13"
"","20"
"Yadav",""
"Female","72"
"Male","197"
"","269"
"Yakkha",""
"Female","8"
"Male","7"
"","15"
