"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","52"
"","84"
"Deaf/hard of hearing",""
"Female","40"
"Male","48"
"","88"
"Deaf-Blind",""
"Female","6"
"Male","9"
"","15"
"Intellectual disable",""
"Female","14"
"Male","14"
"","28"
"Mental disable",""
"Female","21"
"Male","33"
"","54"
"Multiple disable",""
"Female","22"
"Male","41"
"","63"
"No disability",""
"Female","12667"
"Male","8760"
"","21427"
"Physical",""
"Female","84"
"Male","130"
"","214"
"Speech problem",""
"Female","27"
"Male","37"
"","64"
