"Population by Educational Attainment","Number"
"Beginners",""
"Female","283"
"Male","360"
"Graduate and Equivalent",""
"Female","98"
"Male","320"
"Intermediate and Equivalent",""
"Female","398"
"Male","825"
"Level not Stated",""
"Female","138"
"Male","143"
"Lower Secondary (Class 6-8)",""
"Female","1987"
"Male","2839"
"Non Formal Education",""
"Female","117"
"Male","151"
"Others",""
"Female","9"
"Male","16"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","75"
"Primary Education (1-5 Class)",""
"Female","4416"
"Male","5328"
"Secondary Level (Class 9-10)",""
"Female","995"
"Male","1727"
"SLC and Equivalent",""
"Female","1026"
"Male","1767"
