"Population by disability type","Number"
"Blind/low vision",""
"Female","256"
"Male","221"
"","477"
"Deaf/hard of hearing",""
"Female","150"
"Male","157"
"","307"
"Deaf-Blind",""
"Female","11"
"Male","12"
"","23"
"Intellectual disable",""
"Female","24"
"Male","31"
"","55"
"Mental disable",""
"Female","73"
"Male","72"
"","145"
"Multiple disable",""
"Female","82"
"Male","90"
"","172"
"No disability",""
"Female","73209"
"Male","72280"
"","145489"
"Physical",""
"Female","385"
"Male","480"
"","865"
"Speech problem",""
"Female","89"
"Male","119"
"","208"
