"Population by disability type","Number"
"Blind/low vision",""
"Female","76"
"Male","53"
"","129"
"Deaf/hard of hearing",""
"Female","103"
"Male","72"
"","175"
"Deaf-Blind",""
"Female","17"
"Male","9"
"","26"
"Intellectual disable",""
"Female","13"
"Male","10"
"","23"
"Mental disable",""
"Female","25"
"Male","23"
"","48"
"Multiple disable",""
"Female","40"
"Male","43"
"","83"
"No disability",""
"Female","12918"
"Male","10462"
"","23380"
"Physical",""
"Female","138"
"Male","147"
"","285"
"Speech problem",""
"Female","36"
"Male","60"
"","96"
