"Population by Mother tongue","Number"
"Avadhi",""
"Female","14"
"Male","18"
"","32"
"Bajjika",""
"Female","3"
"Male","22"
"","25"
"Bangla",""
"Female","50"
"Male","128"
"","178"
"Bhojpuri",""
"Female","3211"
"Male","6160"
"","9371"
"Bhujel",""
"Female","62"
"Male","63"
"","125"
"Bote",""
"Female","1052"
"Male","937"
"","1989"
"Chepang",""
"Female","10569"
"Male","10745"
"","21314"
"Chinese",""
"Female","2"
"Male","16"
"","18"
"Danuwar",""
"Female","32"
"Male","29"
"","61"
"Darai",""
"Female","3512"
"Male","3103"
"","6615"
"Doteli",""
"Female","33"
"Male","24"
"","57"
"Dura",""
"Female","15"
"Male","10"
"","25"
"Ghale",""
"Female","89"
"Male","67"
"","156"
"Gurung",""
"Female","8930"
"Male","7344"
"","16274"
"Hindi",""
"Female","957"
"Male","1777"
"","2734"
"Hyolmo/Yholmo",""
"Female","90"
"Male","92"
"","182"
"Kham",""
"Female","141"
"Male","104"
"","245"
"Kumal",""
"Female","135"
"Male","133"
"","268"
"Limbu",""
"Female","63"
"Male","46"
"","109"
"Magar",""
"Female","5017"
"Male","4087"
"","9104"
"Maithili",""
"Female","1367"
"Male","2105"
"","3472"
"Majhi",""
"Female","6"
"Male","13"
"","19"
"Nachhiring",""
"Female","7"
"Male","8"
"","15"
"Nepali",""
"Female","211886"
"Male","187534"
"","399420"
"Newar",""
"Female","4733"
"Male","4256"
"","8989"
"Not Reported",""
"Female","221"
"Male","237"
"","458"
"Others",""
"Female","191"
"Male","233"
"","424"
"Punjabi",""
"Female","5"
"Male","9"
"","14"
"Rai",""
"Female","218"
"Male","229"
"","447"
"Rajsthani",""
"Female","92"
"Male","109"
"","201"
"Santhali",""
"Female","5"
"Male","14"
"","19"
"Sherpa",""
"Female","16"
"Male","16"
"","32"
"Sign Language",""
"Female","27"
"Male","40"
"","67"
"Sunuwar",""
"Female","21"
"Male","55"
"","76"
"Tamang",""
"Female","14483"
"Male","13120"
"","27603"
"Thakali",""
"Female","80"
"Male","60"
"","140"
"Tharu",""
"Female","31443"
"Male","27113"
"","58556"
"Urdu",""
"Female","329"
"Male","543"
"","872"
"Yakkha",""
"Female","10"
"Male","16"
"","26"
