"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","30"
"Male","24"
"","54"
"Brahman - Hill",""
"Female","1168"
"Male","999"
"","2167"
"Chhetri",""
"Female","2278"
"Male","2211"
"","4489"
"Dalit Others",""
"Female","118"
"Male","111"
"","229"
"Damai/Dholi",""
"Female","193"
"Male","155"
"","348"
"Danuwar",""
"Female","26"
"Male","34"
"","60"
"Gharti/Bhujel",""
"Female","6"
"Male","5"
"","11"
"Kamar",""
"Female","10"
"Male","4"
"","14"
"Kami",""
"Female","226"
"Male","213"
"","439"
"Magar",""
"Female","124"
"Male","113"
"","237"
"Musalman",""
"Female","7"
"Male","4"
"","11"
"Newar",""
"Female","482"
"Male","463"
"","945"
"Others",""
"Female","20"
"Male","16"
"","36"
"Rai",""
"Female","653"
"Male","560"
"","1213"
"Sanyasi/Dasnami",""
"Female","193"
"Male","205"
"","398"
"Sarki",""
"Female","274"
"Male","259"
"","533"
"Tamang",""
"Female","2314"
"Male","2244"
"","4558"
"Terai Others",""
"Female","10"
"Male","7"
"","17"
"Thakuri",""
"Female","102"
"Male","84"
"","186"
