"Population by Educational Attainment","Number"
"Beginners",""
"Female","137"
"Male","161"
"","298"
"Graduate and Equivalent",""
"Female","16"
"Male","63"
"","79"
"Intermediate and Equivalent",""
"Female","166"
"Male","192"
"","358"
"Level not Stated",""
"Female","108"
"Male","160"
"","268"
"Lower Secondary (Class 6-8)",""
"Female","1004"
"Male","1106"
"","2110"
"Non Formal Education",""
"Female","310"
"Male","381"
"","691"
"Others",""
"Female","0"
"Male","5"
"","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","4"
"","4"
"Primary Education (1-5 Class)",""
"Female","1567"
"Male","1912"
"","3479"
"Secondary Level (Class 9-10)",""
"Female","532"
"Male","601"
"","1133"
"SLC and Equivalent",""
"Female","315"
"Male","368"
"","683"
