"Population by disability type","Number"
"Blind/low vision",""
"Female","144"
"Male","116"
"","260"
"Deaf/hard of hearing",""
"Female","112"
"Male","147"
"","259"
"Deaf-Blind",""
"Female","8"
"Male","16"
"","24"
"Intellectual disable",""
"Female","10"
"Male","13"
"","23"
"Mental disable",""
"Female","14"
"Male","30"
"","44"
"Multiple disable",""
"Female","22"
"Male","40"
"","62"
"No disability",""
"Female","19578"
"Male","18307"
"","37885"
"Physical",""
"Female","215"
"Male","260"
"","475"
"Speech problem",""
"Female","48"
"Male","94"
"","142"
