"Population by Educational Attainment","Number"
"Beginners",""
"Female","374"
"Male","438"
"","812"
"Graduate and Equivalent",""
"Female","9"
"Male","39"
"","48"
"Intermediate and Equivalent",""
"Female","88"
"Male","133"
"","221"
"Level not Stated",""
"Female","30"
"Male","35"
"","65"
"Lower Secondary (Class 6-8)",""
"Female","967"
"Male","1007"
"","1974"
"Non Formal Education",""
"Female","887"
"Male","356"
"","1243"
"Others",""
"Female","6"
"Male","5"
"","11"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","6"
"","7"
"Primary Education (1-5 Class)",""
"Female","3005"
"Male","3215"
"","6220"
"Secondary Level (Class 9-10)",""
"Female","232"
"Male","337"
"","569"
"SLC and Equivalent",""
"Female","172"
"Male","227"
"","399"
