"Population by disability type","Number"
"Blind/low vision",""
"Female","769"
"Male","782"
"","1551"
"Deaf/hard of hearing",""
"Female","608"
"Male","730"
"","1338"
"Deaf-Blind",""
"Female","63"
"Male","57"
"","120"
"Intellectual disable",""
"Female","145"
"Male","183"
"","328"
"Mental disable",""
"Female","242"
"Male","254"
"","496"
"Multiple disable",""
"Female","236"
"Male","314"
"","550"
"No disability",""
"Female","209733"
"Male","197446"
"","407179"
"Physical",""
"Female","1256"
"Male","1717"
"","2973"
"Speech problem",""
"Female","466"
"Male","600"
"","1066"
